state,income
"Washington, D.C.",45004
Connecticut,37807
Maryland,36056
New Jersey,35928
Massachusetts,35485
Virginia,33326
New Hampshire,32758
Alaska,32537
New York,32104
Colorado,31039
Washington,30661
Minnesota,30656
Rhode Island,30005
Delaware,29733
California,29551
Illinois,29519
Hawaii,29227
Wyoming,28858
Vermont,28846
North Dakota,28700
Pennsylvania,28190
United States,28051
Wisconsin,27426
Nevada,27003
Kansas,26845
Oregon,26702
Iowa,26545
Nebraska,26523
Maine,26464
Florida,26451
Ohio,25857
Texas,25809
Arizona,25571
South Dakota,25570
Michigan,25547
Missouri,25546
Georgia,25309
North Carolina,25285
Montana,25002
Indiana,24558
Tennessee,24294
Louisiana,24264
Oklahoma,24046
South Carolina,23906
Utah,23794
New Mexico,23749
Alabama,23587
Kentucky,23210
Idaho,22581
West Virginia,22482
Arkansas,22007
Mississippi,20670